,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2010-07-14,3.5880000591278076,4.03000020980835,3.552000045776367,3.9679999351501465,3.9679999351501465,20976000,TSLA,27.259924,3.9779999256134033,0.009999990463256836,0.0
2010-07-23,4.23799991607666,4.311999797821045,4.211999893188477,4.257999897003174,4.257999897003174,3268000,TSLA,27.763197,4.190000057220459,-0.06799983978271484,0.0
2010-07-27,4.182000160217285,4.236000061035156,4.052000045776367,4.110000133514404,4.110000133514404,3098500,TSLA,27.660355,4.144000053405762,0.03399991989135742,0.0
2010-08-10,3.930000066757202,3.930000066757202,3.7639999389648438,3.805999994277954,3.805999994277954,6406500,TSLA,27.378939,3.579999923706055,-0.22600007057189897,0.0
2010-08-12,3.559999942779541,3.5799999237060547,3.4779999256134033,3.5199999809265137,3.5199999809265137,3455000,TSLA,27.094763,3.6640000343322754,0.14400005340576172,0.0
2010-08-13,3.635999917984009,3.690000057220459,3.5320000648498535,3.6640000343322754,3.6640000343322754,3170000,TSLA,27.185598,3.75600004196167,0.09200000762939453,0.0
2010-08-17,3.7920000553131104,3.880000114440918,3.75600004196167,3.8299999237060547,3.8299999237060547,2239500,TSLA,27.360565,3.753999948501587,-0.07599997520446777,0.0
2010-08-31,3.931999921798706,3.9579999446868896,3.865999937057495,3.8959999084472656,3.8959999084472656,1005500,TSLA,27.455915,4.090000152587891,0.194000244140625,0.0
2010-09-09,4.199999809265137,4.210000038146973,4.138000011444092,4.142000198364258,4.142000198364258,1881000,TSLA,27.6917,4.033999919891357,-0.10800027847290039,0.0
2010-09-10,4.150000095367432,4.185999870300293,3.9519999027252197,4.033999919891357,4.033999919891357,1933000,TSLA,27.60486,4.144000053405762,0.1100001335144043,0.0
2010-09-21,4.177999973297119,4.309999942779541,4.133999824523926,4.1539998054504395,4.1539998054504395,3980000,TSLA,27.703138,3.9739999771118164,-0.17999982833862305,0.0
