,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
1981-03-03,0.11774600297212601,0.11774600297212601,0.1171879991889,0.1171879991889,0.09160224348306656,16172800,AAPL,1.0408815,0.09072909504175186,-0.0008731484413146973,0.0
1981-03-05,0.11607100069522858,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.09029290825128555,5376000,AAPL,1.0437168,0.08942054957151413,-0.0008723586797714233,0.0
1981-03-12,0.10044600069522858,0.10100399702787399,0.10044600069522858,0.10044600069522858,0.07851550728082657,59248000,AAPL,1.0364782,0.07764317095279694,-0.0008723363280296326,0.0
1981-03-19,0.11439699679613113,0.11439699679613113,0.11383900046348572,0.11383900046348572,0.08898439258337021,37811200,AAPL,1.0386354,0.08985675126314163,0.0008723586797714233,0.0
1981-04-02,0.11774600297212601,0.11830399930477142,0.11774600297212601,0.11774600297212601,0.09203840047121048,31404800,AAPL,1.0476013,0.09247452020645142,0.0004361197352409363,0.0
1981-04-06,0.11662899702787399,0.11662899702787399,0.11607100069522858,0.11607100069522858,0.09072909504175186,22803200,AAPL,1.0460551,0.08985675126314163,-0.0008723437786102295,0.0
1981-04-13,0.12444200366735458,0.125,0.12444200366735458,0.12444200366735458,0.09727244824171066,16060800,AAPL,1.0493685,0.09727244824171068,1.3877787807814457e-17,0.0
1981-04-14,0.12444200366735458,0.125,0.12444200366735458,0.12444200366735458,0.09727244824171066,6652800,AAPL,1.0519412,0.09247452020645142,-0.004797928035259247,0.0
1981-04-28,0.12667399644851685,0.12667399644851685,0.12611599266529083,0.12611599266529083,0.09858094900846481,32188800,AAPL,1.045589,0.09727244824171068,-0.0013085007667541365,0.0
1981-05-08,0.125,0.125558003783226,0.125,0.125,0.09770863503217697,7907200,AAPL,1.0527261,0.0955277681350708,-0.0021808668971061707,0.0
1981-05-21,0.13392899930477142,0.13448700308799744,0.13392899930477142,0.13392899930477142,0.10468810051679611,32211200,AAPL,1.0296742,0.10948601365089417,0.004797913134098053,0.0
1981-06-18,0.13950900733470917,0.140066996216774,0.13895100355148315,0.13895100355148315,0.10861366987228394,23049600,AAPL,1.0584652,0.10556048899888992,-0.0030531808733940125,0.0
1981-06-24,0.13002200424671173,0.13002200424671173,0.1289059966802597,0.1289059966802597,0.1007617861032486,23027200,AAPL,1.0542443,0.10294266790151596,0.0021808817982673645,0.0
1981-06-26,0.13113799691200256,0.13113799691200256,0.13002200424671173,0.13002200424671173,0.10163416713476181,23788800,AAPL,1.0518923,0.09814478456974031,-0.003489382565021501,0.0
1981-07-02,0.11495500057935715,0.11551299691200256,0.11495500057935715,0.11495500057935715,0.08985675126314163,30284800,AAPL,1.0397103,0.08680354058742523,-0.0030532106757164,0.0
1981-07-17,0.11551299691200256,0.11607100069522858,0.11551299691200256,0.11551299691200256,0.09029290825128555,19824000,AAPL,1.0474268,0.08418653905391693,-0.006106369197368622,0.0
1981-08-07,0.11272300034761429,0.1132809966802597,0.11272300034761429,0.11272300034761429,0.08811209350824356,9206400,AAPL,1.0410875,0.08811209350824355,-1.3877787807814457e-17,0.0
1981-08-19,0.09653999656438828,0.09653999656438828,0.09542399644851685,0.09542399644851685,0.07458996027708054,20675200,AAPL,1.0329285,0.07546231895685196,0.0008723586797714233,0.0
1981-09-02,0.09709800034761429,0.0976559966802597,0.09709800034761429,0.09709800034761429,0.07589849084615707,19376000,AAPL,1.0234933,0.07197295874357224,-0.003925532102584839,0.0
1981-09-09,0.08816999942064285,0.08872800320386887,0.08816999942064285,0.08816999942064285,0.06891972571611404,30531200,AAPL,1.0169542,0.06935592740774155,0.00043620169162750244,0.0
1981-09-11,0.08816999942064285,0.08816999942064285,0.08761200308799744,0.08761200308799744,0.06848356127738953,17539200,AAPL,1.0233846,0.06630192697048187,-0.002181634306907654,0.0
1981-09-18,0.07924100011587143,0.07979899644851685,0.07924100011587143,0.07924100011587143,0.06194023787975311,26320000,AAPL,1.018192,0.06237640976905823,0.00043617188930511475,0.0
1981-10-15,0.08258900046348572,0.08314699679613113,0.08258900046348572,0.08258900046348572,0.0645572617650032,29433600,AAPL,1.019198,0.06368493288755417,-0.0008723288774490356,0.0
1981-10-16,0.0820309966802597,0.0820309966802597,0.08147300034761429,0.08147300034761429,0.06368493288755417,36467200,AAPL,1.0172539,0.06499339640140533,0.0013084635138511658,0.0
1981-10-20,0.08761200308799744,0.08816999942064285,0.08761200308799744,0.08761200308799744,0.06848356127738953,35728000,AAPL,1.0185012,0.06848356127738953,0.0,0.0
1981-10-22,0.08761200308799744,0.08761200308799744,0.08705399930477142,0.08705399930477142,0.06804738193750381,32278400,AAPL,1.0159603,0.06630192697048187,-0.0017454549670219421,0.0
1981-11-02,0.08928599953651428,0.0898440033197403,0.08928599953651428,0.08928599953651428,0.06979208439588547,36915200,AAPL,1.0092967,0.06891972571611404,-0.0008723586797714233,0.0
1981-11-04,0.08649600297212601,0.08649600297212601,0.0859379991889,0.0859379991889,0.06717503815889359,23811200,AAPL,1.0127993,0.06237640976905823,-0.004798628389835358,0.0
1981-11-05,0.08035700023174286,0.08035700023174286,0.07979899644851685,0.07979899644851685,0.06237640976905823,23363200,AAPL,1.0131203,0.06281256675720215,0.0004361569881439209,0.0
1981-11-10,0.0820309966802597,0.08258900046348572,0.0820309966802597,0.0820309966802597,0.06412109732627869,16755200,AAPL,1.0160072,0.06586577743291855,0.001744680106639862,0.0
1981-11-11,0.08426299691200256,0.08482100069522858,0.08426299691200256,0.08426299691200256,0.06586577743291855,27440000,AAPL,1.0150656,0.06804738193750381,0.002181604504585266,0.0
